Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BRN,Brunei Darussalam,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,112,83
BTN,Bhutan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,142,142
BWA,Botswana,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52,54
CAF,Central African Republic,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,182,182
CAN,Canada,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,13
CHE,Switzerland,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,26
CHI,Channel Islands,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,43,39
CHN,China,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,79,91
CIV,Cote d'Ivoire,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,169,167
CMR,Cameroon,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,168,161
COG,"Congo, Rep.",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,177,181
COK,Cook Islands,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,Colombia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,42
COM,Comoros,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,159,157
CPV,Cape Verde,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,132,119
CRI,Costa Rica,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,125,121
CUB,Cuba,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUW,Curacao,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,Cayman Islands,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,Cyprus,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37,40
CZE,Czech Republic,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,63,64
DEU,Germany,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,19
DJI,Djibouti,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,158,170
DMA,Dominica,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,88,65
DNK,Denmark,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5
DOM,Dominican Republic,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,91,108
DZA,Algeria,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,148
EAP,East Asia & Pacific,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECA,Europe & Central Asia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,Ecuador,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,130,130
EGY,"Egypt, Arab Rep.",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,94,110
EMU,Euro area,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,180
ESP,Spain,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,44
EST,Estonia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,24
ETH,Ethiopia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,104,111
FIN,Finland,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,11
FJI,Fiji,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,77
FRA,France,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,29
FRO,Faeroe Islands,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,"Micronesia, Fed. Sts.",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,141,140
GAB,Gabon,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,156,156
GBR,United Kingdom,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7
GEO,Georgia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,16
GHA,Ghana,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,67,63
GIB,Gibraltar,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,179,179
GMB,"Gambia, The",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,146,149
GNB,Guinea-Bissau,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,176,176
GNQ,Equatorial Guinea,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,164,155
GRC,Greece,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,109,100
GRD,Grenada,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,92,73
GRL,Greenland,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,Guatemala,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,101,97
GUM,Guam,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,Guyana,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,100,114
HIC,High income,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKG,"Hong Kong SAR, China",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
HND,Honduras,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,131,128
HRV,Croatia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,84,80
HTI,Haiti,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,162,174
HUN,Hungary,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,46,51
IDN,Indonesia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,121,129
IMY,Isle of Man,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,India,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,134,132
IRL,Ireland,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10
IRN,"Iran, Islamic Rep.",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,129,144
IRQ,Iraq,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,164
ISL,Iceland,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,9
ISR,Israel,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,34
ITA,Italy,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,80,87
JAM,Jamaica,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,81,88
JOR,Jordan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,111,96
JPN,Japan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,20
