Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BRB,Barbados,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BRN,Brunei Darussalam,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
BTN,Bhutan,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CAF,Central African Republic,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25
CHE,Switzerland,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75
CHI,Channel Islands,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
CHN,China,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
CMR,Cameroon,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,"Congo, Rep.",EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,Cook Islands,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
